time_s,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
5.775,0.186283,9.032151,8.507983,2.035764,0.046578,0.002001
5.8,0.023305,9.685086,8.249242,-0.518817,0.137914,-0.355995
5.825,-0.061053,6.381882,7.426597,-1.139878,0.222283,-0.02382
5.85,-0.067347,5.996047,6.919763,-1.177587,0.501603,-0.106238
5.875,-0.462461,2.293623,5.489649,-0.649228,0.511335,-0.052198
5.9,-0.469415,3.974035,7.398349,1.048012,0.400488,0.162447
5.925,-0.981398,6.220782,8.641626,0.745799,0.193601,-0.032538
5.95,-0.111245,6.698762,8.18942,-0.006175,-0.083132,0.070888
5.975,-0.537566,6.992354,8.422347,-0.6215,-0.024999,-0.095072
6.0,0.037101,4.089019,7.846201,-0.74178,-0.17626,0.007286
6.025,-0.394799,1.92727,7.884537,0.407618,0.018547,0.207621
6.05,0.038048,3.945905,8.434988,1.208883,-0.171087,0.456502
6.075,-0.446754,5.68393,9.819866,0.496244,-0.004294,0.183977
6.1,-0.155549,6.29127,9.906611,-0.162336,-0.472004,-0.021763
6.125,1.146321,4.860584,7.989871,-0.757758,-0.306096,-0.06181
6.15,0.649935,4.548815,8.142612,0.093275,0.234245,0.183365
6.175,0.368762,5.588952,8.746011,-0.002277,0.294847,0.087062
6.2,-0.163043,3.516829,8.585988,0.00155,0.204355,0.055205
6.225,0.480529,4.496922,8.253435,0.418297,0.012537,-0.148286
6.25,0.560833,5.482392,8.665921,0.171332,0.422655,-0.299395
6.275,-0.296838,6.234581,9.440246,-0.534952,0.491401,-0.338435
6.3,-0.476942,3.544073,8.605427,-0.255605,0.335792,-0.193725
6.325,-0.1263,5.330237,8.765568,0.4243,0.242678,0.088399
6.35,-0.010636,5.367923,8.697379,-0.252789,0.133933,0.030291
6.375,-0.621117,4.265415,8.54521,-0.477138,0.072201,-0.126032
6.4,-0.295108,3.56959,8.616916,-0.223038,-0.166508,-0.097709
6.425,-0.585392,3.923184,8.878631,0.137711,-0.100528,-0.143826
6.45,-0.236086,4.1008,8.457417,0.371518,-0.20221,-0.13291
6.475,-0.234793,4.713722,8.540728,0.762161,-0.053574,0.056914
6.5,-0.16649,6.195729,8.835875,0.446908,-0.011011,0.170713
6.525,-0.395545,5.308174,8.675026,-0.179612,-0.016757,0.096069
6.55,-0.133642,4.868834,8.828547,-0.000597,-0.023665,0.02942
6.575,-0.350994,4.748256,8.408898,-0.113701,0.007066,-0.017033
6.6,0.040041,4.083355,8.020287,-0.057901,-0.115927,0.006496
6.625,-0.071996,4.389888,8.321766,0.352415,0.069622,-0.039964
6.65,-0.257023,5.139649,8.576812,0.296392,0.057874,0.067156
6.675,-0.473521,5.943838,9.036833,0.051273,0.111422,0.049014
6.7,-0.572984,4.95782,8.431747,-0.300175,0.02239,-0.007191
6.725,-0.260004,4.709291,8.376579,0.029579,0.037168,0.07823
6.75,-0.369116,5.593507,8.567412,-0.076044,0.087635,0.004056
6.775,-0.415681,4.945842,8.427615,-0.328825,-0.027804,0.00872
6.8,0.106584,4.518789,8.311464,-0.095974,0.002049,0.071284
6.825,0.031417,5.026469,8.618534,0.200074,0.031105,0.115937
6.85,-0.20515,5.55047,8.882707,-0.03398,0.0341,0.007663
6.875,-0.298402,4.390492,8.713654,-0.130484,-0.046345,-0.081888
6.9,-0.376356,5.194924,8.697011,0.110244,-0.12191,-0.067936
6.925,0.146902,6.001983,8.984563,-0.269399,-0.125359,-0.111675
6.95,-0.376942,5.156349,8.589781,-0.646527,-0.111838,-0.11253
6.975,0.120075,3.315967,8.254651,-0.135651,-0.170044,-0.018604
7.0,-0.443601,4.707754,8.600607,0.654072,-0.065276,0.092501
7.025,0.062889,5.873268,8.88469,0.226729,-0.203649,0.173579
7.05,-0.18208,5.047729,8.712709,-0.313335,-0.124118,0.121994
7.075,0.152234,4.416917,8.409166,-0.066919,-0.230641,0.094348
7.1,-0.10952,4.34395,8.539525,-0.023066,-0.15676,0.025722
7.125,0.19121,4.390756,8.524434,0.378551,-0.094797,-0.007883
7.15,-0.230874,5.689484,8.679077,0.245971,0.001669,0.065725
7.175,0.19448,5.786214,8.576115,-0.21568,0.019199,0.056936
7.2,-0.136776,3.604587,7.60377,-0.254956,-0.020991,0.112128
7.225,0.56326,3.810055,7.805275,0.76096,0.075591,0.128325
7.25,-0.048301,5.790083,8.765527,0.527141,0.05813,-0.002789
7.275,0.399663,5.72513,8.414129,-0.075291,0.07494,-0.096924
7.3,0.261562,5.017212,8.270222,-0.390869,0.03878,-0.150945
7.325,0.194178,4.92282,8.430835,-0.177474,0.191235,-0.181716
7.35,-0.051404,4.261211,8.186176,0.041042,0.090835,-0.207791
7.375,-0.033096,5.010549,8.621028,0.282413,0.230289,-0.100945
7.4,-0.290668,5.404179,8.76531,0.099299,0.092462,-0.147038
7.425,-0.411296,5.549489,8.858209,-0.098573,0.163974,-0.131582
7.45,-0.462881,4.657787,8.395114,-0.302085,0.012388,-0.075193
7.475,-0.109813,4.190011,8.081983,0.300845,0.019588,0.053038
7.5,-0.197876,5.69768,8.670615,0.321974,-0.024095,0.124727
7.525,-0.24272,5.599015,8.79532,-0.039961,0.015132,0.104232
7.55,-0.265153,5.13966,8.616584,-0.196815,-0.095714,0.058425
7.575,-0.023558,4.814819,8.382826,0.109011,-0.031,0.021909
7.6,-0.299978,5.740698,8.754634,0.068519,-0.11227,0.005147
7.625,-0.07927,5.440601,8.691743,-0.153484,-0.139904,0.009704
7.65,-0.030997,5.314884,8.25765,-0.103476,-0.088916,0.005736
7.675,0.026139,5.259091,8.10013,-0.134507,-0.057992,0.101758
7.7,0.051435,4.733502,8.196077,-0.204979,0.030645,0.135522
7.725,-0.20518,4.407518,8.454376,0.147258,0.061643,0.142211
7.75,-0.145671,5.259054,8.713683,0.162982,0.049813,0.023485
7.775,0.024636,5.158771,8.570006,-0.05811,0.057517,-0.100607
7.8,-0.291074,4.827186,8.203253,-0.246295,0.030467,-0.178838
7.825,-0.003207,4.018471,8.241436,0.079774,-0.045972,-0.160156
7.85,-0.033981,5.12375,8.418858,0.387354,0.067892,-0.136081
7.875,-0.007427,5.752605,8.666962,0.112236,0.022752,-0.097723
7.9,-0.211003,5.469038,8.509629,-0.194047,0.054089,-0.074345
7.925,-0.08195,4.825688,8.239712,-0.213461,0.016174,-0.025976
7.95,-0.189452,4.530782,8.289672,0.161096,-0.015937,-0.00217
7.975,-0.010993,5.393636,8.542413,0.193993,-0.025876,0.056667
8.0,-0.350504,4.932582,8.500734,-0.097392,-0.039785,0.040508
8.025,-0.120965,4.691508,8.394079,0.067385,-0.116353,0.071029
8.05,-0.03337,5.22973,8.47216,0.15821,-0.063607,0.011433
8.075,0.029703,5.276419,8.413727,0.006941,-0.074241,0.041598
8.1,0.07603,5.082782,8.294033,0.086724,-0.0051,0.043675
8.125,-0.032582,5.315526,8.56573,0.108429,0.050201,0.057477
8.15,-0.378159,5.092958,8.509575,-0.044984,-0.047997,0.050066
8.175,0.110133,5.012374,8.376676,0.021154,-0.105504,0.017721
8.2,0.140206,5.797728,8.303191,0.075396,0.015121,0.047783
8.225,0.134586,7.091374,8.930109,-0.526066,0.039,0.062033
8.25,-0.118052,6.646843,9.095516,-1.788276,0.015276,-0.010611
8.275,0.093462,4.21,8.333103,-1.932671,-0.074871,-0.022547
8.3,0.15697,4.550704,9.088911,-1.91464,0.011857,-0.007202
8.325,0.244932,3.844688,9.15953,-1.820682,0.097049,-0.096738
8.35,-0.160782,3.657517,9.097003,-1.929872,0.079472,-0.121885
8.375,0.28014,2.073391,8.836885,-1.522981,-0.022924,-0.017149
8.4,-0.214989,3.432421,10.124866,-1.692729,0.072344,-0.061521
8.425,0.117545,2.954802,9.845649,-2.153909,0.122745,0.011505
8.45,-0.218493,3.574439,9.903107,-2.98964,0.066969,-0.236487
8.475,0.113064,0.980975,8.856367,-3.65708,0.176354,-0.258249
8.5,-0.143948,1.238257,9.416934,-3.732425,0.147383,-0.247001
8.525,0.013474,-0.512965,9.238173,-4.477537,0.236424,-0.233739
8.55,-0.306155,-0.938609,8.814918,-4.74542,0.262926,-0.168459
8.575,-0.521754,-3.635707,7.262352,-5.244274,0.181984,-0.28976
8.6,-0.004251,-5.105783,7.427634,-4.78953,0.037202,-0.127582
8.625,-0.159901,-6.702499,7.293953,-4.515842,0.252336,-0.17184
8.65,-0.260042,-7.993424,6.152677,-3.637063,0.300875,-0.048076
8.675,-0.669404,-6.779782,6.263403,-2.932815,0.267008,-0.100016
8.7,-0.126443,-7.552241,5.833673,-3.302504,0.271024,-0.145657
8.725,-0.893588,-7.791499,4.919213,-2.959903,0.246296,-0.067982
8.75,-0.56541,-6.068265,4.591404,-3.69638,0.01572,-0.160725
8.775,0.416803,-9.196182,3.763971,-4.730012,0.129942,-0.289637
8.8,-0.571158,-13.609085,1.553978,-2.711857,0.448488,-0.224206
8.825,-1.019387,-8.302879,2.705845,-1.401225,0.023957,0.000705
8.85,0.232218,-7.894088,2.784894,-2.875457,0.146941,-0.121129
8.875,-0.811285,-7.894678,1.490396,-3.781073,0.202068,-0.013936
8.9,-0.222824,-7.531747,-0.712455,-4.63593,0.099984,-0.243996
8.925,-0.40992,-10.220114,-2.632572,-4.964731,0.067631,-0.49285
8.95,0.681803,-10.684183,-2.770906,-3.781339,0.233691,-0.276581
8.975,-0.411263,-10.484405,-3.672111,-3.73539,0.214884,-0.107293
9.0,0.082003,-10.441611,-5.172447,-2.669067,0.24368,0.011742
9.025,-0.040771,-9.636379,-5.108426,-1.384199,0.111368,-0.090081
9.05,0.14571,-6.944364,-3.369429,-1.957055,0.216739,0.017447
9.075,-0.234914,-5.689274,-4.686106,-3.315607,0.267544,0.109679
9.1,0.158931,-5.470436,-6.449264,-4.597916,-0.03924,-0.159459
9.125,1.263792,-9.243141,-8.151898,-4.627535,0.358916,0.175663
9.15,-0.635846,-10.192525,-8.72959,-2.245666,0.394088,0.310251
9.175,-0.911016,-5.86395,-7.979535,-0.970237,-0.055502,0.10929
9.2,0.006317,-5.318094,-7.912044,-1.577579,-0.229059,-0.140536
9.225,1.324302,-5.567676,-7.822385,-1.344439,0.045359,0.073766
9.25,-1.078868,-3.246386,-8.892213,-2.045475,0.142948,0.175868
9.275,0.1417,-3.550649,-9.098606,-2.589838,-0.242348,0.028269
9.3,0.556706,-3.260061,-8.299473,-3.091979,-0.028267,-0.211442
9.325,-0.513209,-6.493432,-9.839273,-2.923027,0.114038,0.100549
9.35,0.083883,-3.760166,-10.059215,-1.315402,-0.243579,-0.322057
9.375,0.515823,-3.261141,-9.774224,-0.988933,-0.047517,-0.085871
