kc_type,experiment_id,motion_folder,motion_index,motion_name,file_type,path,sampling_frequency,n_samples,duration_sec
arm,exp04,motion07_dangle_global2,motion07,dangle_global2,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp04\motion07_dangle_global2\exp04_motion07_omc.csv,120.0,6300,52.5
arm,exp04,motion08_pause4,motion08,pause4,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp04\motion08_pause4\exp04_motion08_imu_nonrigid.csv,40.0,218,5.45
arm,exp04,motion08_pause4,motion08,pause4,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp04\motion08_pause4\exp04_motion08_imu_rigid.csv,40.0,218,5.45
arm,exp04,motion08_pause4,motion08,pause4,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp04\motion08_pause4\exp04_motion08_omc.csv,120.0,653,5.441666666666666
arm,exp05,motion01_pickandplace,motion01,pickandplace,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp05\motion01_pickandplace\exp05_motion01_imu_nonrigid.csv,40.0,3000,75.0
arm,exp05,motion01_pickandplace,motion01,pickandplace,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp05\motion01_pickandplace\exp05_motion01_imu_rigid.csv,40.0,3000,75.0
arm,exp05,motion01_pickandplace,motion01,pickandplace,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp05\motion01_pickandplace\exp05_motion01_omc.csv,120.0,9000,75.0
arm,exp05,motion02_pause,motion02,pause,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp05\motion02_pause\exp05_motion02_imu_nonrigid.csv,40.0,194,4.85
arm,exp05,motion02_pause,motion02,pause,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp05\motion02_pause\exp05_motion02_imu_rigid.csv,40.0,194,4.85
arm,exp05,motion02_pause,motion02,pause,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp05\motion02_pause\exp05_motion02_omc.csv,120.0,581,4.841666666666667
gait,exp06,motion01_canonical,motion01,canonical,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\gait\exp06\motion01_canonical\exp06_motion01_imu_nonrigid.csv,40.0,4400,110.0
gait,exp06,motion01_canonical,motion01,canonical,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\gait\exp06\motion01_canonical\exp06_motion01_imu_rigid.csv,40.0,4400,110.0
gait,exp06,motion01_canonical,motion01,canonical,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\gait\exp06\motion01_canonical\exp06_motion01_omc.csv,120.0,13200,110.0
gait,exp06,motion02_pause1,motion02,pause1,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\gait\exp06\motion02_pause1\exp06_motion02_imu_nonrigid.csv,40.0,150,3.75
